テスト回数：  256回
Randam____：  163個
NotRandam_：   93個
合格率____：63.67％

テスト詳細
・テスト 0の成功数：  256回（成功率 100.00％）
・テスト 1の成功数：  219回（成功率 85.55％）
・テスト 2の成功数：  255回（成功率 99.61％）
・テスト 3の成功数：  255回（成功率 99.61％）
・テスト 4の成功数：  254回（成功率 99.22％）
・テスト 5の成功数：  249回（成功率 97.27％）
・テスト 6の成功数：  244回（成功率 95.31％）
・テスト 7の成功数：  246回（成功率 96.09％）
・テスト 8の成功数：  232回（成功率 90.63％）
・テスト 9の成功数：  256回（成功率 100.00％）
・テスト10の成功数：  242回（成功率 94.53％）
・テスト11の成功数：  256回（成功率 100.00％）
・テスト12の成功数：  256回（成功率 100.00％）
・テスト13の成功数：  255回（成功率 99.61％）
・テスト14の成功数：  255回（成功率 99.61％）
・テスト15の成功数：  255回（成功率 99.61％）
・テスト16の成功数：  251回（成功率 98.05％）
・テスト17の成功数：  255回（成功率 99.61％）
