テスト回数：  256回
Randam____：  168個
NotRandam_：   88個
合格率____：65.63％

テスト詳細
・テスト 0の成功数：  255回（成功率 99.61％）
・テスト 1の成功数：  227回（成功率 88.67％）
・テスト 2の成功数：  255回（成功率 99.61％）
・テスト 3の成功数：  255回（成功率 99.61％）
・テスト 4の成功数：  253回（成功率 98.83％）
・テスト 5の成功数：  242回（成功率 94.53％）
・テスト 6の成功数：  244回（成功率 95.31％）
・テスト 7の成功数：  239回（成功率 93.36％）
・テスト 8の成功数：  245回（成功率 95.70％）
・テスト 9の成功数：  253回（成功率 98.83％）
・テスト10の成功数：  249回（成功率 97.27％）
・テスト11の成功数：  255回（成功率 99.61％）
・テスト12の成功数：  256回（成功率 100.00％）
・テスト13の成功数：  256回（成功率 100.00％）
・テスト14の成功数：  256回（成功率 100.00％）
・テスト15の成功数：  256回（成功率 100.00％）
・テスト16の成功数：  254回（成功率 99.22％）
・テスト17の成功数：  253回（成功率 98.83％）
