テスト回数：  256回
Randam____：  172個
NotRandam_：   84個
合格率____：67.19％

テスト詳細
・テスト 0の成功数：  254回（成功率 99.22％）
・テスト 1の成功数：  236回（成功率 92.19％）
・テスト 2の成功数：  256回（成功率 100.00％）
・テスト 3の成功数：  256回（成功率 100.00％）
・テスト 4の成功数：  254回（成功率 99.22％）
・テスト 5の成功数：  243回（成功率 94.92％）
・テスト 6の成功数：  243回（成功率 94.92％）
・テスト 7の成功数：  244回（成功率 95.31％）
・テスト 8の成功数：  242回（成功率 94.53％）
・テスト 9の成功数：  255回（成功率 99.61％）
・テスト10の成功数：  238回（成功率 92.97％）
・テスト11の成功数：  256回（成功率 100.00％）
・テスト12の成功数：  255回（成功率 99.61％）
・テスト13の成功数：  256回（成功率 100.00％）
・テスト14の成功数：  255回（成功率 99.61％）
・テスト15の成功数：  255回（成功率 99.61％）
・テスト16の成功数：  254回（成功率 99.22％）
・テスト17の成功数：  256回（成功率 100.00％）
