テスト回数：  256回
Randam____：  176個
NotRandam_：   80個
合格率____：68.75％

テスト詳細
・テスト 0の成功数：  256回（成功率 100.00％）
・テスト 1の成功数：  238回（成功率 92.97％）
・テスト 2の成功数：  256回（成功率 100.00％）
・テスト 3の成功数：  256回（成功率 100.00％）
・テスト 4の成功数：  255回（成功率 99.61％）
・テスト 5の成功数：  239回（成功率 93.36％）
・テスト 6の成功数：  247回（成功率 96.48％）
・テスト 7の成功数：  247回（成功率 96.48％）
・テスト 8の成功数：  243回（成功率 94.92％）
・テスト 9の成功数：  254回（成功率 99.22％）
・テスト10の成功数：  238回（成功率 92.97％）
・テスト11の成功数：  255回（成功率 99.61％）
・テスト12の成功数：  255回（成功率 99.61％）
・テスト13の成功数：  255回（成功率 99.61％）
・テスト14の成功数：  256回（成功率 100.00％）
・テスト15の成功数：  256回（成功率 100.00％）
・テスト16の成功数：  253回（成功率 98.83％）
・テスト17の成功数：  255回（成功率 99.61％）
